time [s],concentration of A [mol/m3],concentration of B [mol/m3],concentration of R [mol/m3],concentration of S [mol/m3],concentration of T [mol/m3],rate of reaction of A [mol/m3·s],rate of reaction of B [mol/m3·s],rate of reaction of R [mol/m3·s],rate of reaction of S [mol/m3·s],rate of reaction of T [mol/m3·s],reactor temperature [K],jacket temperature [K],reactor setpoint temperature,volume of reaction mixture [m3],viscosity of the reaction mixture [Pa·s],shaft power of the impeller [W],heat released by reaction [W],cumulative_heat_released [J],heat removed by cooling water [W],cumulative heat removed by cooling water [J],conversion [-],cooling water flowrate [m3/s],stage
3450.0,1.3631057693003417,-7.835165124628363,-4.315682415922892,-3.9816382383675957,-1.7615886191333694,0.0,0.0,0.0,0.0,0.0,296.647911625554,286.39167575469236,273,1.0349999999999997,1.010391403954473,3305.243781354616,0.0,0.0,-0.0,0.0,12.558753353187491,-3.94456785736079e-07,0
3500.0,-6.612428558853363,11.417200531062262,0.28016048976996516,0.2669220896995614,-8.225432404326835,0.0,0.0,0.0,0.0,0.0,297.6278041787812,286.5367918701572,273,1.0499999999999998,1.1310127697203753,3338.585309197392,0.0,0.0,-0.0,0.0,-55.07153347798533,-5.281822208729025e-07,0
3550.0,-4.550561559220082,-4.769360624464822,-3.070450471666622,14.037903723905238,-8.040481617348412,0.0,0.0,0.0,0.0,0.0,301.04256614455767,287.0968228370938,273,1.0649999999999997,1.0508201765160652,3316.7454329297366,0.0,0.0,0.0,0.0,-37.5874815191482,1.7667388886349662e-07,0
3600.0,-3.0057525069521676,8.267265682154619,-1.535405297431398,1.7037523183559737,-5.503848637155302,0.0,0.0,0.0,0.0,0.0,296.7191251955509,289.8991321112958,273,1.0799999999999998,0.9068923027672807,3274.035500039642,0.0,0.0,-0.0,0.0,-24.487935456701884,-1.067022715643663e-06,0
3650.0,-2.9425613038290606,-2.154748854536713,0.9698499401229254,-8.314495847530193,7.067289459005596,0.0,0.0,0.0,0.0,0.0,300.4244209367126,290.07622421421627,273,1.0949999999999998,0.979343103627379,3296.162243411631,0.0,0.0,-0.0,0.0,-23.952091835875546,-5.737135100954908e-07,0
3700.0,-4.53701441543418,-2.3368146237938565,-1.165648300909901,8.180825651089725,-9.510173152710868,0.0,0.0,0.0,0.0,0.0,296.8750901643761,288.1929757230171,273,1.1099999999999999,1.0245060814418134,3309.2995405829333,0.0,0.0,-0.0,0.0,-37.47260555193563,-3.4574251953239504e-07,0
3750.0,0.7179640018682688,-2.738016555790236,-8.668276188949754,-2.234776301176163,-0.06379249160903613,0.0,0.0,0.0,0.0,0.0,296.41254375484374,286.52179500761315,273,1.1249999999999998,1.0444485698168964,3314.955948767326,0.0,0.0,-0.0,0.0,7.088132704714746,-5.051349660381792e-07,0
3800.0,4.834436887864035,-0.4921152504503391,2.2427893801762884,2.9405207804226237,-5.17219320415599,0.0,0.0,0.0,0.0,0.0,296.11923393943033,286.7962323683982,273,1.1399999999999997,1.0688375294323507,3321.76060807762,0.0,0.0,-0.0,0.0,41.99466442509005,-7.799670593502042e-07,0
3850.0,8.274193138784296,1.9721162410817794,9.173728180292729,-2.0493773017788293,-3.7445520625633284,0.0,0.0,0.0,0.0,0.0,299.27272874123923,284.7571644716671,273,1.1549999999999998,0.8933608113724273,3269.7442198704016,0.0,0.0,-0.0,0.0,71.16282950437069,-1.6748084150547583e-06,0
3900.0,-1.6798336511825456,3.0854229501161923,-5.1533121106878905,8.100300113319904,0.13542419117308438,0.0,0.0,0.0,0.0,0.0,298.19592806891546,291.0571363587221,273,1.1699999999999997,0.9690948920938619,3293.1143698251176,0.0,0.0,-0.0,0.0,-13.244516666061601,-5.229780157100809e-07,0
3950.0,-0.3099076025410006,-9.907731142670674,-0.2852319279991817,1.849070255920835,1.5965947825383386,0.0,0.0,0.0,0.0,0.0,299.3390309950711,286.1339287476868,273,1.1849999999999998,1.1151091086265057,3334.349840945759,0.0,0.0,0.0,0.0,-1.6279292632498648,2.389564180336159e-06,0
